2,Postgraduate Taught,12271,6,6,9,10,13,13,13,17,20,21,21,21,21,21,23,25,30,33,57,60,64,67,71,72,77,78,78,78,78,87,92,96,99,106,142,146,146,151,160,164,170,174,175,176
3,Undergraduate,28300,21,23,41,48,61,66,66,83,89,97,107,107,107,109,116,120,138,138,145,148,156,156,157,171,171,171,171,172,176,183,190,193,199,203,228,229,230,232,234,245,247,254,256,257
