2,F,24375,14,15,24,28,38,43,43,56,63,68,73,73,73,73,78,82,93,96,110,113,119,121,124,131,136,136,136,137,140,149,155,158,163,170,199,201,201,204,207,216
3,M,19271,14,15,27,31,38,39,39,47,49,53,58,58,58,60,64,66,79,79,97,100,106,107,109,117,118,119,119,119,120,128,134,138,142,146,178,182,183,188,196,202
4,N,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
